,C,H,N,O,S,P,Intensity
243,21,14,0,10,0,0,4462066.333333333
244,21,14,0,11,0,0,4513108.666666667
245,21,14,0,12,0,0,4906922.666666667
246,21,14,0,13,0,0,4226411.333333333
249,21,15,1,9,0,0,2400748.0
250,21,15,1,10,0,0,2641887.3333333335
251,21,15,1,11,0,0,2592459.0
253,21,16,0,7,0,0,2983067.3333333335
254,21,16,0,8,0,0,4867211.333333333
255,21,16,0,9,0,0,6252401.333333333
256,21,16,0,10,0,0,6947142.0
257,21,16,0,11,0,0,7701566.666666667
258,21,16,0,12,0,0,7702224.0
259,21,16,0,13,0,0,7184319.666666667
260,21,16,2,10,0,0,2213358.0
261,21,17,1,8,0,0,2836469.3333333335
262,21,17,1,9,0,0,3534070.6666666665
263,21,17,1,10,0,0,3778933.3333333335
264,21,17,1,11,0,0,3530215.6666666665
265,21,17,1,12,0,0,3198444.3333333335
267,21,18,0,6,0,0,2227239.0
268,21,18,0,7,0,0,4238303.333333333
269,21,18,0,8,0,0,7921897.0
270,21,18,0,9,0,0,10353235.666666666
271,21,18,2,9,0,0,2646187.0
272,21,18,2,10,0,0,2873432.3333333335
273,21,18,2,11,0,0,2744860.0
274,21,18,2,12,0,0,2369282.6666666665
275,21,19,1,7,0,0,2465651.0
276,21,19,1,8,0,0,3026156.3333333335
277,21,19,1,9,0,0,3894163.6666666665
278,21,19,3,9,0,0,2402509.3333333335
279,21,20,2,8,0,0,3074890.0
280,21,20,2,9,0,0,3250922.3333333335
281,21,21,3,9,0,0,2576362.3333333335
282,22,14,0,9,0,0,2893910.3333333335
283,22,14,0,10,0,0,3462686.0
284,22,14,0,11,0,0,3750631.0
285,22,14,0,12,0,0,3679812.0
286,22,14,0,13,0,0,3579885.0
289,22,16,0,8,0,0,3513990.3333333335
290,22,16,0,9,0,0,4489523.666666667
291,22,16,0,10,0,0,5192296.0
292,22,16,0,11,0,0,5787459.0
293,22,16,0,12,0,0,5827709.333333333
294,22,16,0,13,0,0,5595082.0
295,22,16,0,14,0,0,5311197.666666667
296,22,16,0,15,0,0,4615354.666666667
297,22,17,1,10,0,0,2927551.0
298,22,17,1,11,0,0,2589025.6666666665
299,22,17,1,12,0,0,2685577.0
300,22,17,1,13,0,0,2388892.3333333335
301,22,18,0,7,0,0,3094378.0
302,22,18,0,8,0,0,5626305.0
303,22,18,0,9,0,0,7010464.333333333
304,22,18,0,10,0,0,8134997.666666667
305,22,18,0,11,0,0,8707671.666666666
306,22,19,1,8,0,0,2313797.0
307,22,19,1,9,0,0,3152181.6666666665
308,22,19,1,10,0,0,3578060.6666666665
309,22,19,1,11,0,0,3535949.3333333335
310,22,20,0,6,0,0,2304856.6666666665
311,22,20,0,7,0,0,4421785.666666667
312,22,20,2,9,0,0,2511344.0
313,22,20,2,10,0,0,2667651.3333333335
314,22,20,2,11,0,0,2900604.0
315,22,21,3,9,0,0,2444988.3333333335
316,23,14,0,12,0,0,2499146.3333333335
318,23,16,0,9,0,0,3531212.0
319,23,16,0,10,0,0,3893229.0
320,23,16,0,11,0,0,3908978.6666666665
321,23,16,0,12,0,0,4371824.0
322,23,16,0,13,0,0,4548724.666666667
323,23,16,0,14,0,0,4448300.0
324,23,16,0,15,0,0,3926381.3333333335
327,23,18,0,8,0,0,3569413.3333333335
328,23,18,0,9,0,0,4681247.333333333
329,23,18,0,10,0,0,5788734.0
330,23,18,0,11,0,0,6466120.333333333
331,23,18,0,12,0,0,6449821.333333333
332,23,18,0,13,0,0,6440707.333333333
333,23,19,1,10,0,0,2843443.0
334,23,19,1,11,0,0,2727945.3333333335
335,23,19,1,12,0,0,3043093.0
336,23,19,1,13,0,0,2656941.6666666665
337,23,20,0,7,0,0,2862223.3333333335
338,23,20,0,8,0,0,4537314.0
339,23,20,0,9,0,0,6512916.0
340,23,20,2,11,0,0,2621393.3333333335
341,23,20,2,12,0,0,2488199.3333333335
342,23,21,1,9,0,0,2947350.0
343,23,21,3,9,0,0,2219409.3333333335
344,23,23,3,9,0,0,2546704.6666666665
345,24,16,0,11,0,0,2819889.3333333335
346,24,16,0,12,0,0,3178668.3333333335
347,24,16,0,13,0,0,3118446.6666666665
348,24,16,0,14,0,0,3321513.3333333335
349,24,16,0,15,0,0,3247779.0
351,24,18,0,8,0,0,2274585.3333333335
352,24,18,0,9,0,0,3403003.6666666665
353,24,18,0,10,0,0,3967494.3333333335
354,24,18,0,11,0,0,4750074.0
355,24,18,0,12,0,0,4924564.0
356,24,18,0,13,0,0,5033087.333333333
357,24,18,0,14,0,0,5433190.0
358,24,18,0,15,0,0,5139268.333333333
359,24,19,1,12,0,0,2456912.6666666665
360,24,19,1,13,0,0,2321675.0
361,24,20,0,8,0,0,3175203.0
362,24,20,0,9,0,0,4613443.666666667
363,24,20,0,10,0,0,5912267.666666667
364,24,20,0,11,0,0,6991221.333333333
365,24,21,1,11,0,0,2907787.0
366,24,22,0,7,0,0,2608137.6666666665
368,24,23,3,11,0,0,2536037.0
369,25,16,0,14,0,0,2566327.6666666665
371,25,18,0,11,0,0,3165385.3333333335
372,25,18,0,12,0,0,3675736.6666666665
373,25,18,0,13,0,0,3815913.0
374,25,18,0,14,0,0,4028932.3333333335
375,25,18,0,15,0,0,4018325.0
376,25,18,0,16,0,0,3733743.0
377,25,18,0,17,0,0,3367694.0
