,C,H,N,O,S,P,Intensity
2766,17,20,0,9,1,0,3150576.0
2997,38,56,0,9,2,0,2228750.6666666665
3444,18,32,0,7,1,0,2923156.0
3451,18,34,0,7,1,0,2650513.6666666665
3452,18,34,0,8,1,0,2655703.3333333335
3458,18,36,0,7,1,0,2174314.6666666665
3480,19,36,0,8,1,0,2503660.3333333335
3706,20,36,0,8,1,0,4381089.0
3707,20,38,0,8,1,0,14341634.0
3885,18,32,0,13,1,0,2416887.0
