,C,H,N,O,S,P,Intensity
277,21,19,1,9,0,0,3894163.6666666665
279,21,20,2,8,0,0,3074890.0
280,21,20,2,9,0,0,3250922.3333333335
281,21,21,3,9,0,0,2576362.3333333335
289,22,16,0,8,0,0,3513990.3333333335
290,22,16,0,9,0,0,4489523.666666667
291,22,16,0,10,0,0,5192296.0
292,22,16,0,11,0,0,5787459.0
293,22,16,0,12,0,0,5827709.333333333
294,22,16,0,13,0,0,5595082.0
295,22,16,0,14,0,0,5311197.666666667
296,22,16,0,15,0,0,4615354.666666667
297,22,17,1,10,0,0,2927551.0
298,22,17,1,11,0,0,2589025.6666666665
299,22,17,1,12,0,0,2685577.0
301,22,18,0,7,0,0,3094378.0
302,22,18,0,8,0,0,5626305.0
303,22,18,0,9,0,0,7010464.333333333
304,22,18,0,10,0,0,8134997.666666667
305,22,18,0,11,0,0,8707671.666666666
306,22,19,1,8,0,0,2313797.0
307,22,19,1,9,0,0,3152181.6666666665
308,22,19,1,10,0,0,3578060.6666666665
309,22,19,1,11,0,0,3535949.3333333335
311,22,20,0,7,0,0,4421785.666666667
312,22,20,2,9,0,0,2511344.0
313,22,20,2,10,0,0,2667651.3333333335
318,23,16,0,9,0,0,3531212.0
319,23,16,0,10,0,0,3893229.0
320,23,16,0,11,0,0,3908978.6666666665
321,23,16,0,12,0,0,4371824.0
322,23,16,0,13,0,0,4548724.666666667
323,23,16,0,14,0,0,4448300.0
327,23,18,0,8,0,0,3569413.3333333335
328,23,18,0,9,0,0,4681247.333333333
329,23,18,0,10,0,0,5788734.0
330,23,18,0,11,0,0,6466120.333333333
331,23,18,0,12,0,0,6449821.333333333
332,23,18,0,13,0,0,6440707.333333333
333,23,19,1,10,0,0,2843443.0
334,23,19,1,11,0,0,2727945.3333333335
335,23,19,1,12,0,0,3043093.0
336,23,19,1,13,0,0,2656941.6666666665
337,23,20,0,7,0,0,2862223.3333333335
338,23,20,0,8,0,0,4537314.0
339,23,20,0,9,0,0,6512916.0
342,23,21,1,9,0,0,2947350.0
344,23,23,3,9,0,0,2546704.6666666665
347,24,16,0,13,0,0,3118446.6666666665
353,24,18,0,10,0,0,3967494.3333333335
354,24,18,0,11,0,0,4750074.0
355,24,18,0,12,0,0,4924564.0
356,24,18,0,13,0,0,5033087.333333333
357,24,18,0,14,0,0,5433190.0
358,24,18,0,15,0,0,5139268.333333333
359,24,19,1,12,0,0,2456912.6666666665
361,24,20,0,8,0,0,3175203.0
362,24,20,0,9,0,0,4613443.666666667
363,24,20,0,10,0,0,5912267.666666667
364,24,20,0,11,0,0,6991221.333333333
365,24,21,1,11,0,0,2907787.0
372,25,18,0,12,0,0,3675736.6666666665
373,25,18,0,13,0,0,3815913.0
374,25,18,0,14,0,0,4028932.3333333335
375,25,18,0,15,0,0,4018325.0
376,25,18,0,16,0,0,3733743.0
378,25,20,0,9,0,0,3174571.0
379,25,20,0,10,0,0,4241206.666666667
380,25,20,0,11,0,0,4743175.0
381,25,20,0,12,0,0,5150921.0
382,25,20,0,13,0,0,5608450.333333333
383,25,21,1,12,0,0,2488740.0
384,25,21,1,13,0,0,2512300.3333333335
385,25,22,0,8,0,0,3073788.6666666665
386,25,22,0,9,0,0,4330335.0
388,26,18,0,14,0,0,2926042.6666666665
392,26,20,0,11,0,0,3606501.6666666665
393,26,20,0,12,0,0,3917429.0
394,26,20,0,13,0,0,4357477.666666667
395,26,20,0,14,0,0,4545163.666666667
396,26,20,0,15,0,0,4671121.333333333
397,26,22,0,9,0,0,3264209.3333333335
398,26,22,0,10,0,0,4415012.666666667
399,26,22,0,11,0,0,5340083.333333333
401,27,20,0,13,0,0,3193820.0
402,27,20,0,14,0,0,3231567.3333333335
403,27,20,0,15,0,0,3859535.0
404,27,20,0,16,0,0,3488998.6666666665
405,27,20,0,17,0,0,3188006.3333333335
406,27,22,0,11,0,0,3781367.6666666665
407,27,22,0,12,0,0,4566554.0
408,27,22,0,13,0,0,4486963.0
409,27,24,0,9,0,0,2875971.6666666665
414,28,22,0,13,0,0,3657667.3333333335
415,28,22,0,14,0,0,3808347.3333333335
416,28,22,0,15,0,0,3745316.0
417,28,24,0,11,0,0,3677217.0
419,29,22,0,15,0,0,3147762.6666666665
421,29,24,0,13,0,0,3786183.3333333335
423,30,24,0,14,0,0,3131033.3333333335
424,30,24,0,15,0,0,3445846.0
432,18,17,3,9,0,0,2444090.5
434,19,19,3,7,0,0,2235118.0
437,20,19,3,10,0,0,2180031.5
440,22,17,1,9,0,0,2617120.0
452,21,21,3,8,0,0,2344481.6666666665
460,24,19,1,11,0,0,2503844.0
461,24,21,1,10,0,0,2367205.0
467,28,22,0,12,0,0,2966498.0
471,31,24,0,16,0,0,2411223.6666666665
484,20,21,3,7,0,0,2307542.5
486,21,19,3,8,0,0,2116734.0
533,22,21,1,7,0,0,1967314.0
553,23,19,1,9,0,0,2573333.0
596,13,14,0,9,0,0,2001536.0
597,13,14,0,10,0,0,2318833.0
598,13,16,0,9,0,0,2070929.0
599,13,16,0,10,0,0,1971645.3333333333
601,14,12,0,9,0,0,2734561.6666666665
606,14,14,0,8,0,0,2834244.0
607,14,14,0,9,0,0,4497331.666666667
608,14,14,0,10,0,0,5759677.333333333
609,14,14,0,11,0,0,5178378.666666667
610,14,14,0,12,0,0,3079988.6666666665
611,14,16,0,7,0,0,2167103.3333333335
612,14,16,0,8,0,0,4358364.666666667
613,14,16,0,9,0,0,5906335.0
614,14,16,0,10,0,0,6481311.333333333
615,14,16,0,11,0,0,5262309.666666667
616,14,16,0,12,0,0,2049177.3333333333
617,14,18,0,7,0,0,2181083.3333333335
618,14,18,0,8,0,0,3990406.6666666665
619,14,18,0,9,0,0,4558074.666666667
620,14,18,0,10,0,0,3668816.3333333335
621,14,18,0,11,0,0,2055634.0
622,14,20,0,8,0,0,2022380.6666666667
623,14,20,0,9,0,0,2233799.3333333335
624,15,12,0,10,0,0,4733891.0
625,15,12,0,11,0,0,5323699.333333333
629,15,14,0,7,0,0,2011375.6666666667
630,15,14,0,8,0,0,4270639.666666667
631,15,14,0,9,0,0,6610627.666666667
632,15,14,0,10,0,0,8704169.666666666
633,15,14,0,11,0,0,10399004.333333334
634,15,14,0,12,0,0,7816709.0
635,15,14,0,13,0,0,4787456.333333333
636,15,15,1,8,0,0,2452873.3333333335
637,15,15,1,9,0,0,2654098.3333333335
638,15,15,1,10,0,0,2610974.3333333335
639,15,15,1,11,0,0,1919705.3333333333
640,15,16,0,7,0,0,3151467.0
641,15,16,0,8,0,0,6595562.0
642,15,16,0,9,0,0,10408630.333333334
643,15,16,0,10,0,0,13356801.666666666
644,15,16,0,11,0,0,13549191.666666666
645,15,16,0,12,0,0,8479499.333333334
646,15,16,0,13,0,0,3393576.6666666665
647,15,16,2,7,0,0,2175915.6666666665
648,15,16,2,8,0,0,2301058.6666666665
649,15,16,2,9,0,0,2375286.3333333335
650,15,17,1,8,0,0,2151019.3333333335
651,15,17,1,9,0,0,2629938.6666666665
652,15,17,1,10,0,0,2687284.0
653,15,18,0,7,0,0,4293023.0
654,15,18,0,8,0,0,8608871.0
655,15,18,0,9,0,0,11274272.0
656,15,18,0,10,0,0,12583623.0
657,15,18,0,11,0,0,9602374.666666666
658,15,18,0,12,0,0,4638709.666666667
659,15,18,2,8,0,0,1808746.0
660,15,19,1,9,0,0,2075713.6666666667
661,15,20,0,6,0,0,1793945.0
662,15,20,0,7,0,0,4379021.666666667
663,15,20,0,8,0,0,6854568.0
664,15,20,0,9,0,0,7310423.333333333
665,15,20,0,10,0,0,6253900.666666667
666,15,20,0,11,0,0,3416407.0
667,15,22,0,6,0,0,1576330.0
668,15,22,0,7,0,0,2958562.3333333335
669,15,22,0,8,0,0,3346009.3333333335
670,15,22,0,9,0,0,2830345.3333333335
671,15,22,0,10,0,0,2031929.6666666667
675,16,14,0,8,0,0,7599606.0
676,16,14,0,9,0,0,7944629.333333333
677,16,14,0,10,0,0,11089164.333333334
678,16,14,0,11,0,0,12829979.333333334
679,16,14,0,12,0,0,11201407.666666666
680,16,14,0,13,0,0,7480906.0
682,16,15,1,8,0,0,3171005.6666666665
683,16,15,1,9,0,0,4868883.666666667
684,16,15,1,10,0,0,4006364.3333333335
685,16,15,1,11,0,0,3388937.6666666665
687,16,16,0,7,0,0,4524692.0
688,16,16,0,8,0,0,8312915.0
689,16,16,0,9,0,0,12853885.666666666
690,16,16,0,10,0,0,18488262.333333332
691,16,16,0,11,0,0,20738296.666666668
692,16,16,0,12,0,0,17056008.0
693,16,16,0,13,0,0,8995759.666666666
694,16,16,0,14,0,0,3595860.3333333335
695,16,16,2,8,0,0,4063176.3333333335
696,16,16,2,9,0,0,3908249.3333333335
697,16,16,2,10,0,0,3084255.0
698,16,17,1,7,0,0,2044114.0
699,16,17,1,8,0,0,3046090.6666666665
700,16,17,1,9,0,0,4344607.0
701,16,17,1,10,0,0,4330264.0
702,16,17,1,11,0,0,3323986.6666666665
703,16,18,0,6,0,0,2611189.0
704,16,18,0,7,0,0,5650999.333333333
705,16,18,0,8,0,0,11597860.666666666
706,16,18,0,9,0,0,18359823.666666668
707,16,18,0,10,0,0,24427140.666666668
708,16,18,0,11,0,0,22469142.333333332
709,16,18,0,12,0,0,14346508.333333334
710,16,18,0,13,0,0,5961967.0
711,16,18,2,6,0,0,1833731.6666666667
712,16,18,2,7,0,0,2677364.6666666665
713,16,18,2,8,0,0,3350821.0
714,16,18,2,9,0,0,3467741.3333333335
715,16,18,2,10,0,0,2253969.6666666665
716,16,19,1,7,0,0,1700501.0
717,16,19,1,8,0,0,2758563.3333333335
718,16,19,1,9,0,0,3828870.3333333335
719,16,19,1,10,0,0,3605227.0
720,16,19,1,11,0,0,2176109.6666666665
721,16,20,0,6,0,0,3171269.6666666665
722,16,20,0,7,0,0,7163207.333333333
723,16,20,0,8,0,0,12983661.333333334
724,16,20,0,9,0,0,18139581.333333332
725,16,20,0,10,0,0,19538928.333333332
726,16,20,0,11,0,0,13716252.0
727,16,20,0,12,0,0,6351070.333333333
728,16,20,2,7,0,0,1698451.0
729,16,20,2,8,0,0,2207881.3333333335
730,16,21,1,8,0,0,2089454.3333333333
731,16,21,1,9,0,0,2466631.0
732,16,21,1,10,0,0,2035794.0
733,16,22,0,6,0,0,3039567.3333333335
734,16,22,0,7,0,0,6346863.333333333
735,16,22,0,8,0,0,9763543.333333334
736,16,22,0,9,0,0,10380675.333333334
737,16,22,0,10,0,0,8665092.666666666
738,16,22,0,11,0,0,4591281.0
739,16,22,0,12,0,0,2161105.3333333335
740,17,14,0,10,0,0,10849601.333333334
741,17,14,0,11,0,0,12150783.0
742,17,14,0,12,0,0,11646730.666666666
743,17,14,0,13,0,0,8651590.333333334
744,17,14,0,14,0,0,5320020.0
746,17,15,1,10,0,0,5256119.666666667
747,17,15,1,11,0,0,3837475.3333333335
749,17,16,0,6,0,0,2631315.3333333335
750,17,16,0,7,0,0,6463766.666666667
751,17,16,0,8,0,0,9866185.333333334
752,17,16,0,9,0,0,15557571.0
753,17,16,0,10,0,0,18659646.666666668
754,17,16,0,11,0,0,21408559.666666668
755,17,16,0,12,0,0,19430937.0
756,17,16,0,13,0,0,13843439.333333334
757,17,16,0,14,0,0,7536360.666666667
758,17,16,0,15,0,0,3069306.0
759,17,16,2,10,0,0,4141360.0
761,17,17,1,7,0,0,2397922.6666666665
762,17,17,1,8,0,0,4442234.333333333
763,17,17,1,9,0,0,5399373.666666667
764,17,17,1,10,0,0,5734480.333333333
765,17,17,1,11,0,0,4523335.333333333
766,17,17,1,12,0,0,2920010.3333333335
767,17,18,0,6,0,0,3169207.6666666665
768,17,18,0,7,0,0,7472640.666666667
769,17,18,0,8,0,0,12980677.333333334
770,17,18,0,9,0,0,22437151.0
771,17,18,0,10,0,0,29577858.666666668
772,17,18,0,11,0,0,31400845.666666668
773,17,18,0,12,0,0,24051622.666666668
774,17,18,0,13,0,0,14026541.0
775,17,18,0,14,0,0,6069371.333333333
776,17,18,0,15,0,0,2226012.3333333335
778,17,18,2,7,0,0,3657695.3333333335
779,17,18,2,8,0,0,4335620.333333333
780,17,18,2,9,0,0,4846269.333333333
781,17,18,2,10,0,0,3680362.6666666665
782,17,18,2,11,0,0,2253216.0
