,C,H,N,O,S,P,Intensity
364,24,20,0,11,0,0,6991221.333333333
365,24,21,1,11,0,0,2907787.0
367,24,23,3,10,0,0,2522626.0
368,24,23,3,11,0,0,2536037.0
369,25,16,0,14,0,0,2566327.6666666665
370,25,16,0,16,0,0,2342540.6666666665
371,25,18,0,11,0,0,3165385.3333333335
372,25,18,0,12,0,0,3675736.6666666665
373,25,18,0,13,0,0,3815913.0
374,25,18,0,14,0,0,4028932.3333333335
375,25,18,0,15,0,0,4018325.0
376,25,18,0,16,0,0,3733743.0
377,25,18,0,17,0,0,3367694.0
379,25,20,0,10,0,0,4241206.666666667
380,25,20,0,11,0,0,4743175.0
381,25,20,0,12,0,0,5150921.0
382,25,20,0,13,0,0,5608450.333333333
383,25,21,1,12,0,0,2488740.0
384,25,21,1,13,0,0,2512300.3333333335
386,25,22,0,9,0,0,4330335.0
387,26,18,0,13,0,0,3176300.3333333335
388,26,18,0,14,0,0,2926042.6666666665
389,26,18,0,15,0,0,3270717.0
390,26,18,0,16,0,0,3043063.3333333335
391,26,18,0,17,0,0,3131987.0
392,26,20,0,11,0,0,3606501.6666666665
393,26,20,0,12,0,0,3917429.0
394,26,20,0,13,0,0,4357477.666666667
395,26,20,0,14,0,0,4545163.666666667
396,26,20,0,15,0,0,4671121.333333333
397,26,22,0,9,0,0,3264209.3333333335
398,26,22,0,10,0,0,4415012.666666667
399,26,22,0,11,0,0,5340083.333333333
400,27,20,0,12,0,0,2704243.3333333335
401,27,20,0,13,0,0,3193820.0
402,27,20,0,14,0,0,3231567.3333333335
403,27,20,0,15,0,0,3859535.0
404,27,20,0,16,0,0,3488998.6666666665
405,27,20,0,17,0,0,3188006.3333333335
406,27,22,0,11,0,0,3781367.6666666665
407,27,22,0,12,0,0,4566554.0
408,27,22,0,13,0,0,4486963.0
410,28,20,0,15,0,0,2679642.0
411,28,20,0,16,0,0,2637295.0
412,28,20,0,17,0,0,2741123.6666666665
413,28,20,0,18,0,0,2412826.6666666665
414,28,22,0,13,0,0,3657667.3333333335
415,28,22,0,14,0,0,3808347.3333333335
416,28,22,0,15,0,0,3745316.0
417,28,24,0,11,0,0,3677217.0
418,29,22,0,14,0,0,2925037.3333333335
419,29,22,0,15,0,0,3147762.6666666665
420,29,22,0,17,0,0,2779352.3333333335
421,29,24,0,13,0,0,3786183.3333333335
422,30,24,0,13,0,0,2903854.0
423,30,24,0,14,0,0,3131033.3333333335
424,30,24,0,15,0,0,3445846.0
428,18,12,0,14,0,0,2401723.5
432,18,17,3,9,0,0,2444090.5
433,19,16,2,12,0,0,2155217.5
435,20,15,1,13,0,0,2552704.0
436,20,17,3,9,0,0,2080931.5
437,20,19,3,10,0,0,2180031.5
438,20,19,3,11,0,0,2008241.5
439,21,19,3,10,0,0,2368727.5
440,22,17,1,9,0,0,2617120.0
441,22,17,1,14,0,0,2162156.5
442,22,18,2,10,0,0,2084135.5
443,23,17,1,11,0,0,2590752.5
444,23,20,2,13,0,0,2234837.0
445,23,21,3,10,0,0,2214460.5
446,24,16,0,17,0,0,2484176.5
447,25,16,0,13,0,0,2502391.5
453,22,15,1,10,0,0,2328425.0
455,22,18,2,12,0,0,2154415.6666666665
457,23,14,0,13,0,0,2640185.0
458,23,22,2,9,0,0,2023672.0
459,24,16,0,10,0,0,2805416.0
460,24,19,1,11,0,0,2503844.0
461,24,21,1,10,0,0,2367205.0
462,25,23,3,11,0,0,2255118.6666666665
463,26,18,0,12,0,0,2486686.3333333335
465,27,18,0,14,0,0,2180714.0
466,27,18,0,17,0,0,2459618.3333333335
467,28,22,0,12,0,0,2966498.0
468,29,22,0,16,0,0,3091275.6666666665
470,29,24,0,12,0,0,3078722.0
471,31,24,0,16,0,0,2411223.6666666665
473,31,26,0,13,0,0,2800441.0
474,32,26,0,15,0,0,2441600.3333333335
480,18,14,2,11,0,0,2085450.0
485,21,16,2,11,0,0,2147574.5
488,22,21,3,11,0,0,2471249.5
489,23,17,1,10,0,0,2231973.0
490,23,17,1,13,0,0,2163172.5
492,24,19,1,14,0,0,2231989.5
493,25,19,1,13,0,0,2060990.0
494,25,21,1,11,0,0,2245185.5
495,26,18,0,18,0,0,2458674.5
496,26,21,1,14,0,0,2177699.0
497,26,21,1,15,0,0,2220570.5
499,30,22,0,17,0,0,2504956.0
500,30,22,0,18,0,0,2214195.5
501,31,24,0,15,0,0,2500051.5
510,23,17,1,12,0,0,2301573.3333333335
512,24,22,2,11,0,0,2338949.6666666665
513,25,16,0,12,0,0,2226656.0
514,25,16,0,15,0,0,2315741.6666666665
515,25,18,0,10,0,0,2847095.0
516,26,18,0,11,0,0,2295142.0
517,26,20,0,10,0,0,2884840.3333333335
518,27,18,0,16,0,0,2571634.3333333335
519,27,20,0,11,0,0,2358635.0
521,28,20,0,14,0,0,2799894.6666666665
522,28,22,0,11,0,0,2293281.3333333335
523,29,20,0,15,0,0,2178536.0
524,29,22,0,13,0,0,2482660.0
525,30,22,0,16,0,0,2364101.3333333335
527,19,17,3,10,0,0,2299935.0
532,22,15,1,12,0,0,2182743.5
536,23,21,3,11,0,0,2494951.0
541,28,20,0,13,0,0,2545996.5
543,31,24,0,17,0,0,2445257.0
550,23,14,0,11,0,0,2345986.6666666665
553,23,19,1,9,0,0,2573333.0
554,25,23,3,12,0,0,2192959.0
556,27,18,0,15,0,0,2376789.3333333335
564,18,15,3,10,0,0,1953053.0
565,21,12,0,13,0,0,2148716.0
566,22,15,1,11,0,0,2118277.0
569,23,20,2,10,0,0,2329538.0
570,24,14,0,13,0,0,2120878.5
571,24,17,1,11,0,0,2077632.5
572,24,17,1,12,0,0,2233660.5
576,25,19,1,12,0,0,2150342.0
578,26,16,0,14,0,0,2248575.0
579,27,18,0,13,0,0,2282231.5
581,30,22,0,15,0,0,2528427.0
582,30,22,0,19,0,0,2000242.0
585,31,22,0,16,0,0,2206706.5
586,31,24,0,14,0,0,2210546.0
603,14,12,0,11,0,0,3410843.0
604,14,12,0,12,0,0,2350709.0
609,14,14,0,11,0,0,5178378.666666667
610,14,14,0,12,0,0,3079988.6666666665
614,14,16,0,10,0,0,6481311.333333333
615,14,16,0,11,0,0,5262309.666666667
616,14,16,0,12,0,0,2049177.3333333333
624,15,12,0,10,0,0,4733891.0
625,15,12,0,11,0,0,5323699.333333333
626,15,12,0,12,0,0,4514705.333333333
627,15,12,0,13,0,0,2448465.0
631,15,14,0,9,0,0,6610627.666666667
632,15,14,0,10,0,0,8704169.666666666
633,15,14,0,11,0,0,10399004.333333334
634,15,14,0,12,0,0,7816709.0
635,15,14,0,13,0,0,4787456.333333333
638,15,15,1,10,0,0,2610974.3333333335
639,15,15,1,11,0,0,1919705.3333333333
642,15,16,0,9,0,0,10408630.333333334
643,15,16,0,10,0,0,13356801.666666666
644,15,16,0,11,0,0,13549191.666666666
645,15,16,0,12,0,0,8479499.333333334
646,15,16,0,13,0,0,3393576.6666666665
655,15,18,0,9,0,0,11274272.0
656,15,18,0,10,0,0,12583623.0
657,15,18,0,11,0,0,9602374.666666666
658,15,18,0,12,0,0,4638709.666666667
665,15,20,0,10,0,0,6253900.666666667
666,15,20,0,11,0,0,3416407.0
673,16,12,0,12,0,0,5246753.333333333
674,16,12,0,13,0,0,3504316.0
676,16,14,0,9,0,0,7944629.333333333
677,16,14,0,10,0,0,11089164.333333334
678,16,14,0,11,0,0,12829979.333333334
679,16,14,0,12,0,0,11201407.666666666
680,16,14,0,13,0,0,7480906.0
681,16,14,0,14,0,0,3713152.0
683,16,15,1,9,0,0,4868883.666666667
684,16,15,1,10,0,0,4006364.3333333335
685,16,15,1,11,0,0,3388937.6666666665
686,16,15,1,12,0,0,1901880.0
688,16,16,0,8,0,0,8312915.0
689,16,16,0,9,0,0,12853885.666666666
690,16,16,0,10,0,0,18488262.333333332
691,16,16,0,11,0,0,20738296.666666668
692,16,16,0,12,0,0,17056008.0
693,16,16,0,13,0,0,8995759.666666666
694,16,16,0,14,0,0,3595860.3333333335
696,16,16,2,9,0,0,3908249.3333333335
697,16,16,2,10,0,0,3084255.0
700,16,17,1,9,0,0,4344607.0
701,16,17,1,10,0,0,4330264.0
702,16,17,1,11,0,0,3323986.6666666665
705,16,18,0,8,0,0,11597860.666666666
706,16,18,0,9,0,0,18359823.666666668
707,16,18,0,10,0,0,24427140.666666668
708,16,18,0,11,0,0,22469142.333333332
